Hole_ID,North_Plan,East_Plan,CollarRL_Plan,ToeRL_Plan,Depth_Plan
PR1,1454733.58,659169.494,300.791,295.5,5.291
PR2,1454737.745,659167.789,300.854,295.5,5.354
PR3,1454737.14,659172.251,300.733,295.5,5.233
PR4,1454732.976,659173.956,300.619,295.5,5.119
PR5,1454728.811,659175.661,300.588,295.5,5.088
PR6,1454724.647,659177.366,300.577,295.5,5.077
PR7,1454720.483,659179.072,300.572,295.5,5.072
PR8,1454716.318,659180.777,300.567,295.5,5.067
PR9,1454712.154,659182.482,300.562,295.5,5.062
PR10,1454707.989,659184.187,300.557,295.5,5.057
PR11,1454703.825,659185.892,300.552,295.5,5.052
PR12,1454699.661,659187.598,300.547,295.5,5.047
PR13,1454695.496,659189.303,300.543,295.5,5.043
PR14,1454691.332,659191.008,300.539,295.5,5.039
PR15,1454683.847,659198.417,300.522,295.5,5.022
PR16,1454686.563,659197.175,300.524,295.5,5.024
PR17,1454690.728,659195.47,300.531,295.5,5.031
PR18,1454694.892,659193.765,300.537,295.5,5.037
PR19,1454699.056,659192.059,300.563,295.5,5.063
PR20,1454703.221,659190.354,300.621,295.5,5.121
PR21,1454707.385,659188.649,300.679,295.5,5.179
PR22,1454711.55,659186.944,300.702,295.5,5.202
PR23,1454715.714,659185.239,300.716,295.5,5.216
PR24,1454719.878,659183.533,300.719,295.5,5.219
PR25,1454724.043,659181.828,300.712,295.5,5.212
PR26,1454728.207,659180.123,300.705,295.5,5.205
PR27,1454732.372,659178.418,300.68,295.5,5.18
PR28,1454736.536,659176.712,300.65,295.5,5.15
PR29,1454740.7,659175.007,300.627,295.5,5.127
PR30,1454740.096,659179.469,300.598,295.5,5.098
PR31,1454735.932,659181.174,300.555,295.5,5.055
PR32,1454731.767,659182.879,300.542,295.5,5.042
PR33,1454727.603,659184.585,300.556,295.5,5.056
PR34,1454723.438,659186.29,300.569,295.5,5.069
PR35,1454719.274,659187.995,300.583,295.5,5.083
PR36,1454715.11,659189.7,300.597,295.5,5.097
PR37,1454710.945,659191.406,300.61,295.5,5.11
PR38,1454706.781,659193.111,300.574,295.5,5.074
PR39,1454702.616,659194.816,300.527,295.5,5.027
PR40,1454698.452,659196.521,300.564,295.5,5.064
PR41,1454694.288,659198.226,300.558,295.5,5.058
PR42,1454690.123,659199.932,300.552,295.5,5.052
PR43,1454685.959,659201.637,300.546,295.5,5.046
PR44,1454689.519,659204.393,300.593,295.5,5.093
PR45,1454693.683,659202.688,300.63,295.5,5.13
PR46,1454697.848,659200.983,300.668,295.5,5.168
PR47,1454702.012,659199.278,300.646,295.5,5.146
PR48,1454706.176,659197.573,300.622,295.5,5.122
PR49,1454710.341,659195.867,300.616,295.5,5.116
PR50,1454714.505,659194.162,300.61,295.5,5.11
PR51,1454718.67,659192.457,300.605,295.5,5.105
PR52,1454722.834,659190.752,300.599,295.5,5.099
PR53,1454726.998,659189.046,300.595,295.5,5.095
PR54,1454731.163,659187.341,300.616,295.5,5.116
PR55,1454735.327,659185.636,300.645,295.5,5.145
PR56,1454739.492,659183.931,300.666,295.5,5.166
PR57,1454743.052,659186.687,300.717,295.5,5.217
PR58,1454738.887,659188.392,300.688,295.5,5.188
PR59,1454734.723,659190.098,300.66,295.5,5.16
PR60,1454730.559,659191.803,300.688,295.5,5.188
PR61,1454726.394,659193.508,300.724,295.5,5.224
PR62,1454722.23,659195.213,300.717,295.5,5.217
PR63,1454718.065,659196.919,300.734,295.5,5.234
PR64,1454713.901,659198.624,300.752,295.5,5.252
PR65,1454709.737,659200.329,300.764,295.5,5.264
PR66,1454705.572,659202.034,300.769,295.5,5.269
PR67,1454701.408,659203.74,300.775,295.5,5.275
PR68,1454697.243,659205.445,300.811,295.5,5.311
PR69,1454693.079,659207.15,300.825,295.5,5.325
PR70,1454688.915,659208.855,300.741,295.5,5.241
PR71,1454692.475,659211.612,300.866,295.5,5.366
PR72,1454696.639,659209.907,300.812,295.5,5.312
PR73,1454700.803,659208.201,300.784,295.5,5.284
PR74,1454704.968,659206.496,300.808,295.5,5.308
PR75,1454709.132,659204.791,300.785,295.5,5.285
PR76,1454713.297,659203.086,300.769,295.5,5.269
PR77,1454717.461,659201.38,300.766,295.5,5.266
PR78,1454721.625,659199.675,300.792,295.5,5.292
PR79,1454725.79,659197.97,300.775,295.5,5.275
PR80,1454729.954,659196.265,300.745,295.5,5.245
PR81,1454734.119,659194.559,300.69,295.5,5.19
PR82,1454738.283,659192.854,300.724,295.5,5.224
PR83,1454742.447,659191.149,300.757,295.5,5.257
PR84,1454741.843,659195.611,300.71,295.5,5.21
PR85,1454737.679,659197.316,300.708,295.5,5.208
PR86,1454733.514,659199.021,300.72,295.5,5.22
PR87,1454729.35,659200.726,300.757,295.5,5.257
PR88,1454725.185,659202.432,300.819,295.5,5.319
PR89,1454721.021,659204.137,300.837,295.5,5.337
PR90,1454716.857,659205.842,300.808,295.5,5.308
PR91,1454712.692,659207.547,300.859,295.5,5.359
PR92,1454708.528,659209.253,300.909,295.5,5.409
PR93,1454704.363,659210.958,300.956,295.5,5.456
PR94,1454700.199,659212.663,300.974,295.5,5.474
PR95,1454696.035,659214.368,300.977,295.5,5.477
PR96,1454692.392,659215.784,300.984,295.5,5.484
PR97,1454695.43,659218.83,301.034,295.5,5.534
PR98,1454699.595,659217.125,300.989,295.5,5.489
PR99,1454703.759,659215.42,300.954,295.5,5.454
PR100,1454707.924,659213.714,300.922,295.5,5.422
PR101,1454712.088,659212.009,300.89,295.5,5.39
PR102,1454716.252,659210.304,300.873,295.5,5.373
PR103,1454720.417,659208.599,300.839,295.5,5.339
PR104,1454724.581,659206.893,300.81,295.5,5.31
PR105,1454728.746,659205.188,300.765,295.5,5.265
PR106,1454732.91,659203.483,300.744,295.5,5.244
PR107,1454737.074,659201.778,300.69,295.5,5.19
PR108,1454741.239,659200.073,300.637,295.5,5.137
PR109,1454745.403,659198.367,300.632,295.5,5.132
PR110,1454744.799,659202.829,300.718,295.5,5.218
PR111,1454740.634,659204.534,300.757,295.5,5.257
PR112,1454736.47,659206.24,300.708,295.5,5.208
PR113,1454732.306,659207.945,300.775,295.5,5.275
PR114,1454728.141,659209.65,300.811,295.5,5.311
PR115,1454723.977,659211.355,300.889,295.5,5.389
PR116,1454719.812,659213.06,301.03,295.5,5.53
PR117,1454715.648,659214.766,301.055,295.5,5.555
PR118,1454711.484,659216.471,301.033,295.5,5.533
PR119,1454707.319,659218.176,301.008,295.5,5.508
PR120,1454703.155,659219.881,300.982,295.5,5.482
PR121,1454698.99,659221.587,301.019,295.5,5.519
PR122,1454695.869,659222.597,301.061,295.5,5.561
PR123,1454698.386,659226.048,301.1,295.5,5.6
PR124,1454702.55,659224.343,301.063,295.5,5.563
PR125,1454706.715,659222.638,301.027,295.5,5.527
PR126,1454710.879,659220.933,301.018,295.5,5.518
PR127,1454715.044,659219.227,301.036,295.5,5.536
PR128,1454719.208,659217.522,300.994,295.5,5.494
PR129,1454723.372,659215.817,300.963,295.5,5.463
PR130,1454727.537,659214.112,300.78,295.5,5.28
PR131,1454731.701,659212.406,300.701,295.5,5.201
PR132,1454735.866,659210.701,300.731,295.5,5.231
PR133,1454740.03,659208.996,300.72,295.5,5.22
PR134,1454744.194,659207.291,300.792,295.5,5.292
PR135,1454747.755,659210.047,300.768,295.5,5.268
PR136,1454743.59,659211.753,300.734,295.5,5.234
PR137,1454739.426,659213.458,300.7,295.5,5.2
PR138,1454735.261,659215.163,300.677,295.5,5.177
PR139,1454731.097,659216.868,300.724,295.5,5.224
PR140,1454726.933,659218.573,300.894,295.5,5.394
PR141,1454722.768,659220.279,300.944,295.5,5.444
PR142,1454718.604,659221.984,300.978,295.5,5.478
PR143,1454714.439,659223.689,301.013,295.5,5.513
PR144,1454710.275,659225.394,301.04,295.5,5.54
PR145,1454706.111,659227.1,301.089,295.5,5.589
PR146,1454701.946,659228.805,301.14,295.5,5.64
PR147,1454699.288,659229.583,301.113,295.5,5.613
PR148,1454701.342,659233.267,301.118,295.5,5.618
PR149,1454705.506,659231.561,301.052,295.5,5.552
PR150,1454709.671,659229.856,301.015,295.5,5.515
PR151,1454713.835,659228.151,300.994,295.5,5.494
PR152,1454717.999,659226.446,301.023,295.5,5.523
PR153,1454722.164,659224.74,300.949,295.5,5.449
PR154,1454726.328,659223.035,300.911,295.5,5.411
PR155,1454730.493,659221.33,300.779,295.5,5.279
PR156,1454734.657,659219.625,300.672,295.5,5.172
PR157,1454738.821,659217.92,300.67,295.5,5.17
PR158,1454742.986,659216.214,300.704,295.5,5.204
PR159,1454747.15,659214.509,300.749,295.5,5.249
PR160,1454746.546,659218.971,300.801,295.5,5.301
PR161,1454742.381,659220.676,300.702,295.5,5.202
PR162,1454738.217,659222.381,300.643,295.5,5.143
PR163,1454734.053,659224.087,300.663,295.5,5.163
PR164,1454729.888,659225.792,300.808,295.5,5.308
PR165,1454725.724,659227.497,300.878,295.5,5.378
PR166,1454721.559,659229.202,300.97,295.5,5.47
PR167,1454717.395,659230.907,301.068,295.5,5.568
PR168,1454713.231,659232.613,301.028,295.5,5.528
PR169,1454709.066,659234.318,301.117,295.5,5.617
PR170,1454704.902,659236.023,301.224,295.5,5.724
PR171,1454704.761,659240.253,301.417,295.5,5.917
PR172,1454708.462,659238.78,301.331,295.5,5.831
PR173,1454712.626,659237.074,301.207,295.5,5.707
PR174,1454716.791,659235.369,301.054,295.5,5.554
PR175,1454720.955,659233.664,301.038,295.5,5.538
PR176,1454725.12,659231.959,300.86,295.5,5.36
PR177,1454729.284,659230.254,300.799,295.5,5.299
PR178,1454733.448,659228.548,300.741,295.5,5.241
PR179,1454737.613,659226.843,300.626,295.5,5.126
PR180,1454741.777,659225.138,300.701,295.5,5.201
PR181,1454745.941,659223.433,300.815,295.5,5.315
PR182,1454750.106,659221.727,300.929,295.5,5.429
PR183,1454749.502,659226.189,300.804,295.5,5.304
PR184,1454745.337,659227.894,300.68,295.5,5.18
PR185,1454741.173,659229.6,300.587,295.5,5.087
PR186,1454737.008,659231.305,300.662,295.5,5.162
PR187,1454732.844,659233.01,300.799,295.5,5.299
PR188,1454728.68,659234.715,300.787,295.5,5.287
PR189,1454724.515,659236.421,300.91,295.5,5.41
PR190,1454720.351,659238.126,301.025,295.5,5.525
PR191,1454716.186,659239.831,301.196,295.5,5.696
PR192,1454712.022,659241.536,301.358,295.5,5.858
PR193,1454707.858,659243.241,301.455,295.5,5.955
PR194,1454707.948,659247.124,301.5,295.5,6
PR195,1454711.418,659245.998,301.439,295.5,5.939
PR196,1454715.582,659244.293,301.285,295.5,5.785
PR197,1454719.746,659242.587,301.097,295.5,5.597
PR198,1454723.911,659240.882,300.963,295.5,5.463
PR199,1454728.075,659239.177,300.835,295.5,5.335
PR200,1454732.24,659237.472,300.854,295.5,5.354
PR201,1454736.404,659235.767,300.776,295.5,5.276
PR202,1454740.568,659234.061,300.589,295.5,5.089
PR203,1454744.733,659232.356,300.648,295.5,5.148
PR204,1454748.897,659230.651,300.729,295.5,5.229
PR205,1454753.062,659228.946,300.846,295.5,5.346
PR206,1454752.457,659233.407,300.874,295.5,5.374
PR207,1454748.293,659235.113,300.8,295.5,5.3
PR208,1454744.128,659236.818,300.725,295.5,5.225
PR209,1454739.964,659238.523,300.735,295.5,5.235
PR210,1454735.8,659240.228,301.004,295.5,5.504
PR211,1454731.635,659241.934,300.99,295.5,5.49
PR212,1454727.471,659243.639,300.895,295.5,5.395
PR213,1454723.307,659245.344,301.046,295.5,5.546
PR214,1454719.142,659247.049,301.157,295.5,5.657
PR215,1454714.978,659248.754,301.376,295.5,5.876
